Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
bol,Bolivia,2.8,2.5,2.7,2,2.2,2.3,2.2,2.5,2.7,2.9,3,2.7,2.8,2.76,34,34,35,34
bih,Bosnia and Herzegovina,-,-,-,-,-,-,3.1,2.9,-,3.3,3.2,3,3.2,3.21,42,42,39,38
bih,Bosnia and Herzgegovina,-,-,-,-,-,-,-,-,2.9,-,-,-,-,-,-,-,-,-
bih,Bosnia & Herzegovina,-,-,-,-,-,3.3,-,-,-,-,-,-,-,-,-,-,-,-
bwa,Botswana,6.1,6.1,6,6,6.4,5.7,6,5.9,5.6,5.4,5.8,5.6,5.8,6.08,65,64,63,63
bra,Brazil,4,4.1,3.9,4,4,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77,43,42,43,38
brn,Brunei,-,-,-,-,-,-,-,-,-,-,-,-,5.5,5.21,55,60,-,-
brn,Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,5.5,-,-,-,-,-,-
bgr,Bulgaria,2.9,3.3,3.5,3.9,4,3.9,4.1,4,4,4.1,3.6,3.8,3.6,3.33,41,41,43,41
bfa,Burkina Faso,-,-,3,-,-,-,-,3.4,3.2,2.9,3.5,3.6,3.1,3.05,38,38,38,38
bdi,Burundi,-,-,-,-,-,-,-,2.3,2.4,2.5,1.9,1.8,1.8,1.94,19,21,20,21
khm,Cambodia,-,-,-,-,-,-,-,2.3,2.1,2,1.8,2,2.1,2.11,22,20,21,21
cmr,Cameroon,1.4,1.5,2,2,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45,26,25,27,27
can,Canada,9.2,9.2,9.2,8.9,9,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67,84,81,81,83
cpv,Cape Verde,-,-,-,-,-,-,-,-,-,4.9,5.1,5.1,5.1,5.52,60,58,57,55
caf,Central African Republic,-,-,-,-,-,-,-,-,2.4,2,2,2,2.1,2.21,26,25,24,24
tcd,Chad,-,-,-,-,-,-,1.7,1.7,2,1.8,1.6,1.6,1.7,2.04,19,19,22,22
chl,Chile,6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7,6.9,6.7,7.2,7.21,72,71,73,70
chn,China,3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64,39,40,36,37
col,Colombia,2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45,36,36,37,37
com,Comoros,-,-,-,-,-,-,-,-,-,2.6,2.5,2.3,2.1,2.41,28,28,26,26
cog,Congo Brazzaville,-,-,-,-,-,-,-,-,-,-,-,1.9,-,-,-,-,-,-
cog,Congo-Brazzaville,-,-,-,-,-,-,-,-,-,-,-,-,2.1,-,-,-,-,-
cod,Congo Democratic Republic,-,-,-,-,-,-,-,2.1,2,1.9,-,-,-,-,-,-,-,-
cod,Congo. Democratic Republic,-,-,-,-,-,-,2,-,-,-,1.7,-,-,-,-,-,-,-
cog,Congo Republic,-,-,-,-,-,-,-,-,2.2,2.1,-,-,-,-,26,22,23,23
cog,Congo  Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,2.15,-,-,-,-
cog,Congo. Republic,-,-,-,-,-,-,-,-,-,-,1.9,-,-,-,-,-,-,-
cog,Congo Republic of,-,-,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-
cog,Congo. Republic of,-,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-,-
cog,Congo Republic of the,-,-,-,-,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-
cri,Costa Rica,5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8,54,53,54,55
civ,Cote d´Ivoire,-,-,-,2.4,-,-,2,-,-,-,-,-,-,-,-,-,-,-
civ,Cote d'Ivoire,-,-,-,-,2.7,2.1,-,1.9,-,2.1,-,-,-,-,-,-,-,-
civ,Côte d´Ivoire,-,-,-,-,-,-,-,-,2.1,-,2,2.1,2.2,2.23,29,27,32,32
civ,Côte-d'Ivoire,-,-,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hrv,Croatia,-,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,46,48,48,51
cub,Cuba,-,-,-,-,-,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,48,46,46,47
cyp,Cyprus,-,-,-,-,-,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,66,63,63,61
