ISO,Score,Political Context,Economic Context,Legal Context,Social Context,Safety,Year
TCD,56.18,55.88,43.27,60.35,63.2,58.21,2022
GAB,56,48.38,39.46,56.14,65.5,70.52,2022
UKR,55.76,61.21,42.86,79.45,76.43,18.84,2022
BDI,55.74,50.03,44.67,59.55,52.78,71.66,2022
GRC,55.52,60.5,38.13,69.54,65.36,44.1,2022
ZMB,55.4,52.35,37.76,58.33,64,64.55,2022
BRA,55.36,51.62,37.59,69.74,70,47.86,2022
MLI,54.48,35.15,42.6,74.34,78.5,41.81,2022
SLV,54.09,42.94,39.07,63.22,62.86,62.37,2022
MYS,51.55,46.52,42.6,40.13,56,72.48,2022
ETH,50.53,50.65,45.77,63.66,57.29,35.29,2022
THA,50.15,58.99,45.24,47.37,53.67,45.5,2022
MOZ,49.89,46.06,40.31,61.62,47.25,54.21,2022
IDN,49.27,45.91,41.33,55.7,66,37.42,2022
CMR,49.1,48.05,35.71,56.89,67.57,37.25,2022
QAT,49.03,59.7,46.94,43.86,42.5,52.17,2022
JOR,48.66,40,32.65,41.23,66,63.4,2022
BEN,48.39,47.73,28.19,57.46,55.5,53.1,2022
KAZ,48.28,43.52,29.8,51.93,52.3,63.85,2022
TZA,48.28,43.88,32.65,45.09,59.2,60.56,2022
GTM,47.94,46.06,33.67,68.86,59,32.12,2022
COD,47.66,51.33,41.43,60.88,60.3,24.34,2022
BOL,47.58,44.55,33.67,58.77,45,55.89,2022
MEX,47.57,58.18,43.37,65.79,59.5,11.02,2022
SSD,47.06,40.48,36.73,52.11,50.6,55.37,2022
NGA,46.79,45.15,36.39,53.8,69.83,28.75,2022
LBN,46.58,50.91,38.27,50.22,60.5,33.02,2022
SWZ,46.42,41.31,35.03,43.86,50.5,61.4,2022
UGA,46.35,44.7,36.99,60.96,56,33.09,2022
UZB,45.74,44.75,35.71,50.88,53.33,44.03,2022
DZA,45.53,41.21,32.4,54.17,55.88,44.02,2022
MAR,45.42,51.67,28.83,55.81,56,34.82,2022
RWA,45.18,42.12,31.89,57.89,55.25,38.76,2022
ZWE,44.94,40.3,32.4,54.17,54.5,43.34,2022
ARE,44.46,45.45,36.73,32.02,50.5,57.59,2022
SGP,44.23,39.09,29.21,34.21,49.25,69.39,2022
SOM,44.01,51.03,41.22,47.72,61.8,18.27,2022
GNQ,43.96,42.73,24.49,44.3,44.25,64.04,2022
KHM,43.48,42.42,27.96,49.65,62.4,34.96,2022
LBY,43.16,54.42,34.9,44.91,45,36.58,2022
BRN,42.53,40.61,30.61,28.51,34,78.91,2022
COL,42.43,44.7,32.27,60.42,50.38,24.4,2022
LKA,42.13,40.91,27.04,53.07,48.25,41.37,2022
PHL,41.84,44.44,23.13,54.97,61.83,24.83,2022
HKG,41.64,40.5,35.9,42.58,57.45,31.78,2022
TUR,41.25,38.38,27.55,52.92,55,32.37,2022
IND,41,40.76,30.36,57.02,56.25,20.61,2022
SDN,40.96,47.05,29.97,41.45,51,35.35,2022
TJK,40.26,33.79,29.85,48.68,46,42.96,2022
BLR,39.62,32.93,48.75,37.23,60.33,18.85,2022
AZE,39.4,37.66,23.76,48.25,58.86,28.48,2022
RUS,38.82,36.36,34.84,44.61,51.29,27,2022
AFG,38.27,44.65,43.88,42.54,43.33,16.96,2022
PAK,37.99,39.57,31.92,53.26,47.43,17.75,2022
KWT,37.87,32.73,19.39,36.84,27,73.41,2022
VEN,37.78,33.7,31.73,44.74,47.5,31.22,2022
NIC,37.09,37.45,38.78,31.75,49.8,27.68,2022
LAO,36.64,36.06,20.92,31.58,44,50.64,2022
BGD,36.63,42.12,32.48,44.15,48.5,15.88,2022
OMN,35.99,32.73,23.98,18.42,45,59.82,2022
DJI,35.75,32.73,16.12,37.72,37.6,54.56,2022
HND,34.61,33.33,31.63,36.84,31,40.22,2022
SAU,33.71,37.27,33.67,22.37,36.5,38.75,2022
BHR,30.97,35.15,21.43,28.95,39.67,29.65,2022
EGY,30.23,30.91,23.47,34.87,44.25,17.64,2022
YEM,29.14,33.03,27.55,38.6,35,11.54,2022
PSE,28.98,35.45,15.82,36.4,36.5,20.74,2022
SYR,28.94,33.51,27.62,33.58,36.57,13.39,2022
IRQ,28.59,34.14,20.07,29.82,40.67,18.27,2022
CUB,27.32,27.27,39.8,15.79,27.5,26.24,2022
VNM,26.11,32.32,18.71,27.49,34.67,17.37,2022
CHN,25.17,27.45,26.02,23.25,33.3,15.84,2022
MMR,25.03,40.4,29.25,20.18,30.67,4.63,2022
TKM,25.01,25,11.73,29.61,23,35.69,2022
IRN,23.22,30.71,21.32,26.71,23.78,13.61,2022
ERI,19.62,22.22,19.73,25.15,19.67,11.36,2022
PRK,13.92,22.42,0,22.81,12,12.38,2022
